"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","total_type","school_phase","estimated_course_starts_by_pupils","total_schools","total_schools_participating","percentage_schools_participating"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","857","E06000017","Rutland","Total in academic year","All",677,"21","17","81"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","941","E06000062","West Northamptonshire","Total in academic year","All",4775,"181","103","56.9"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","822","E06000055","Bedford","Total in academic year","All",2119,"72","48","66.7"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","873","E10000003","Cambridgeshire","Total in academic year","All",8037,"260","159","61.2"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","823","E06000056","Central Bedfordshire","Total in academic year","All",3842,"130","70","53.8"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","881","E10000012","Essex","Total in academic year","All",19133,"556","375","67.4"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","919","E10000015","Hertfordshire","Total in academic year","All",14436,"519","323","62.2"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","821","E06000032","Luton","Total in academic year","All",4493,"64","42","65.6"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","926","E10000020","Norfolk","Total in academic year","All",11088,"418","253","60.5"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","874","E06000031","Peterborough","Total in academic year","All",4482,"81","63","77.8"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","882","E06000033","Southend-on-Sea","Total in academic year","All",3202,"52","37","71.2"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","935","E10000029","Suffolk","Total in academic year","All",11218,"323","215","66.6"
202223,2023,"January","Local authority","E92000001","England","E12000006","East of England","883","E06000034","Thurrock","Total in academic year","All",4220,"56","39","69.6"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","301","E09000002","Barking and Dagenham","Total in academic year","All",3518,"60","37","61.7"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","302","E09000003","Barnet","Total in academic year","All",4692,"126","85","67.5"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","303","E09000004","Bexley","Total in academic year","All",3989,"83","68","81.9"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","304","E09000005","Brent","Total in academic year","All",4456,"84","69","82.1"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","305","E09000006","Bromley","Total in academic year","All",3153,"100","66","66"
202223,2023,"January","Local authority","E92000001","England","E12000007","London","202","E09000007","Camden","Total in academic year","All",2197,"58","40","69"
